dataset_name,size,p,alpha,Structural Perturbation RMSE,Spectral Distance,Standard SVD RMSE
Amazon_Digital_Music_sample2_train,100k,0.05,1.0,0.7996630508268635,0.022494098,0.7852289934532268
Amazon_Digital_Music_sample3_train,100k,0.05,1.0,0.7996630508268635,0.022494098,0.7852289934532268
Amazon_Grocery_and_Gourmet_Food_sample1_train,100k,0.05,1.0,0.8572636049490949,0.06106022,0.8508881736451928
Amazon_Grocery_and_Gourmet_Food_sample2_train,100k,0.05,1.0,0.8548009772676451,0.040473726,0.848869167494716
Amazon_Grocery_and_Gourmet_Food_sample3_train,100k,0.05,1.0,0.8560841557234217,0.027678907,0.850317642686704
Amazon_Health_and_Personal_Care_sample1_train,100k,0.05,1.0,0.6617768208852074,0.028576696,0.6267394225528199
Amazon_Health_and_Personal_Care_sample2_train,100k,0.05,1.0,0.6617768208852074,0.028576696,0.6267394225528199
Amazon_Health_and_Personal_Care_sample3_train,100k,0.05,1.0,0.6617768208852074,0.028576696,0.6267394225528199
Amazon_Movies_and_TV_sample1_train,100k,0.05,1.0,0.843873923056632,0.037862163,0.8381077680405781
Amazon_Movies_and_TV_sample2_train,100k,0.05,1.0,0.8396652953266065,0.046114165,0.833451142850295
Amazon_Movies_and_TV_sample3_train,100k,0.05,1.0,0.8394845217492112,0.06289401,0.8332204920459351
BeerAdvocate_sample1_train,100k,0.05,1.0,0.5232792963369509,0.07390479,0.510601522789331
BeerAdvocate_sample2_train,100k,0.05,1.0,0.5201951763704988,0.07727364,0.5056272460259297
BeerAdvocate_sample3_train,100k,0.05,1.0,0.5272725063069682,0.057816368,0.515346516097745
Behance_sample1_train,100k,0.05,1.0,0.6999769264302568,0.07121519,0.6253066651921809
Behance_sample2_train,100k,0.05,1.0,0.7013494888951661,0.076171145,0.6232249274768599
Behance_sample3_train,100k,0.05,1.0,0.7002229956079692,0.07177538,0.6245794802608683
DianPing_sample1_train,100k,0.05,1.0,0.6553669407293827,0.06789147,0.6509789492146515
DianPing_sample2_train,100k,0.05,1.0,0.6611014605458903,0.06610562,0.6574891627888411
DianPing_sample3_train,100k,0.05,1.0,0.6563510315575961,0.04785982,0.6522761245677225
Food_sample1_train,100k,0.05,1.0,0.802702838904918,0.050074983,0.7923249495306862
Food_sample2_train,100k,0.05,1.0,0.7695685052034952,0.059843834,0.7564559063960093
Food_sample3_train,100k,0.05,1.0,0.7996568744067409,0.04929204,0.7912754825844956
GoodReads_sample1_train,100k,0.05,1.0,0.5279890035561728,0.4825782,0.41993623521648143
GoodReads_sample2_train,100k,0.05,1.0,0.5326570635737227,0.54584306,0.4185812608464749
GoodReads_sample3_train,100k,0.05,1.0,0.5191559338733732,0.57571083,0.39907420721839487
KDD2010-algebra2006_2007_sample1_train,100k,0.05,1.0,0.7119636847712808,1.1123945,0.3262379459183777
KDD2010-algebra2006_2007_sample2_train,100k,0.05,1.0,0.7139064018333126,1.23435,0.29519711395345427
KDD2010-algebra2006_2007_sample3_train,100k,0.05,1.0,0.720994986767633,1.0994126,0.3217502081596033
ModCloth_sample1_train,100k,0.05,1.0,0.5497527047619353,0.031192807,0.4972114772002157
ModCloth_sample2_train,100k,0.05,1.0,0.5497527047619353,0.031192807,0.4972114772002157
